codigo,exist_edu,exist_cult,exist_patr,exist_saude,exist_assist,exist_seg_al,exist_dir_mulh,exist_cri_adol,atv_edu,atv_cult,atv_patri,atv_saude,atv_assist,atv_seg_al,atv_dir_mulh,atv_cri_adol,delib_edu,delib_cult,delib_pres_patri,delib_saude,delib_seg_al,delib_cri_adol,consult_sau,consult_seg_al,consult_cri_adol,consult_educ,consult_cult,consult_patri,norm_edu,norm_cult,norm_patri,norm_sau,norm_seg_ali,norm_cri_adol,fisc_edu,fisc_cult,fisc_patri,fisc_sau,fisc_seg_ali,fisc_cri_adol,d_atv_edu,d_atv_cult,d_atv_patri,d_atv_saude,d_atv_assist,d_atv_seg_al,d_atv_dir_mulh,d_atv_cri_adol,soma_exist_cons,soma_atv_cons,soma_delib_cons,soma_consult_cons,soma_norm_cons,soma_fisc_cons,eq1_exist,eq1_atv,eq1_delib,eq1_consult,eq1_norm,eq1_fisc,grau_part,municipio,estado,_merge
1200104,1,1,0,1,1,0,0,1,6,0,0,8,6,0,0,5,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,4,4,4,1,2,4,3.5,3.5,4.3333335,1.8333334,2.6666667,4.3333335,3.6750002,Prefeitura Municipal de Brasiléia - AC,AC,matched (3)
1200138,0,1,0,1,1,0,0,1,0,0,0,12,10,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,3,2,0,2,1,2.875,2.875,2.6666667,1,2.6666667,1.8333334,2.4416666,Prefeitura Municipal de Bujari - AC,AC,matched (3)
1200179,1,1,0,1,1,0,1,1,3,0,0,4,8,0,0,4,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,4,4,4,3,2,2,3.5,3.5,4.3333335,3.5,2.6666667,2.6666667,3.6750002,Prefeitura Municipal de Capixaba - AC,AC,matched (3)
1200203,1,1,0,1,1,0,0,1,7,2,0,12,10,0,0,9,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,5,5,4,3,3,3,4.125,4.125,4.3333335,3.5,3.5,3.5,4.0083332,Prefeitura Municipal de Cruzeiro do Sul - AC,AC,matched (3)
1200252,1,0,0,1,1,0,0,1,17,0,0,4,6,0,0,6,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,Prefeitura Municipal de Epitaciolândia - AC,AC,matched (3)
1200302,1,1,0,1,1,0,1,1,1,0,0,8,14,0,5,5,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,5,5,4,4,3,4,4.125,4.125,4.3333335,4.3333335,3.5,4.3333335,4.1916666,,,master only (1)
1200328,1,1,0,1,1,0,1,1,12,0,0,12,12,0,0,12,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,4,4,1,3,3.5,3.5,4.3333335,4.3333335,1.8333334,3.5,3.7666667,Prefeitura Municipal de Jordão - AC,AC,matched (3)
1200336,1,0,0,1,1,0,1,1,3,0,0,10,10,0,2,11,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,5,5,2,1,2,3,4.125,4.125,2.6666667,1.8333334,2.6666667,3.5,3.0166667,Prefeitura Municipal de Mâncio Lima - AC,AC,matched (3)
1200344,1,1,0,1,1,0,0,1,2,0,0,12,6,0,0,4,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,4,4,3,2,1,3,3.5,3.5,3.5,2.6666667,1.8333334,3.5,3.2249999,Prefeitura Municipal de Manoel Urbano - AC,AC,matched (3)
1200351,1,0,0,1,1,0,1,1,9,0,0,5,8,0,4,5,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,5,5,1,3,1,3,4.125,4.125,1.8333334,3.5,1.8333334,3.5,2.75,Prefeitura Municipal de Marechal Thaumaturgo - AC,AC,matched (3)
1200385,1,1,0,1,1,0,1,1,3,0,0,15,10,0,0,13,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,2,1,2,3.5,3.5,3.5,2.6666667,1.8333334,2.6666667,3.1333334,,,master only (1)
1200393,1,0,0,1,1,0,1,1,4,0,0,8,10,0,1,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,5,5,3,1,1,2,4.125,4.125,3.5,1.8333334,1.8333334,2.6666667,3.1916666,,,master only (1)
1200401,1,1,1,1,1,1,1,1,16,12,2,13,14,6,12,10,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,8,8,5,3,3,3,6,6,5.1666665,3.5,3.5,3.5,4.8166666,Prefeitura Municipal de Rio Branco - AC,AC,matched (3)
1200427,1,0,0,1,1,0,1,1,1,0,0,0,22,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,3,3,3,3,3,3,2.875,2.875,3.5,3.5,3.5,3.5,3.3499999,Prefeitura Municipal de Rodrigues Alves - AC,AC,matched (3)
