municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Campos Novos - SC,4203600,144414815.06,0,72429230.73,0,2.8928819
Prefeitura Municipal de Canelinha - SC,4203709,32054736.04,1058823,16814909.83,.069477364,2.8951585
Prefeitura Municipal de Canoinhas - SC,4203808,153783415.1,5712258,75803376.48,.073252827,2.8952823
Prefeitura Municipal de Capinzal - SC,4203907,88061844.16,1280045,42005548.5,.027793052,2.8937926
Prefeitura Municipal de Capivari de Baixo - SC,4203956,0,7137695,0,,
Prefeitura Municipal de Catanduvas - SC,4204004,39137573.52,1326229,17644895.18,.061706085,2.8949039
Prefeitura Municipal de Caxambu do Sul - SC,4204103,22513181.12,60000,8511258.210000001,.0042851255,2.8930223
Prefeitura Municipal de Celso Ramos - SC,4204152,17254920.45,327259,8779069.890000001,.038610756,2.8941472
Prefeitura Municipal de Cerro Negro - SC,4204178,16755965.84,463596,8311874.45,.054901823,2.894681
Prefeitura Municipal de Chapadão do Lageado - SC,4204194,16125516.63,0,7069016.69,0,2.8928819
Prefeitura Municipal de Chapecó - SC,4204202,750979228.6,82013143,382297115.13,.22244948,2.9001708
Prefeitura Municipal de Cocal do Sul - SC,4204251,61964725.41,0,30806117.11,0,2.8928819
Prefeitura Municipal de Concórdia - SC,4204301,282171540.74,4178556,119367652.02,.025666192,2.893723
Prefeitura Municipal de Cordilheira Alta - SC,4204350,27584111.87,0,10946750.95,0,2.8928819
Prefeitura Municipal de Coronel Freitas - SC,4204400,101231814.19,0,15972752.92,0,2.8928819
Prefeitura Municipal de Coronel Martins - SC,4204459,15331364.16,426364,6230633.73,.046849426,2.894417
Prefeitura Municipal de Corupá - SC,4204509,50898789.65,4087484,21988925.1,.14138718,2.8975148
Prefeitura Municipal de Correia Pinto - SC,4204558,49748878.56,9038421,25222955.69,.36852521,2.9049573
Prefeitura Municipal de Criciúma - SC,4204608,743783592.9400001,271230157,310667492.73,.6262297,2.9134014
Prefeitura Municipal de Cunha Porã - SC,4204707,37676804.72,347097,17229069.06,.016974838,2.8934381
Prefeitura Municipal de Cunhataí - SC,4204756,15064312.21,138294,5783961.12,.014901807,2.8933702
Prefeitura Municipal de Curitibanos - SC,4204806,116683662.28,1404079,61087050.7,.025254758,2.8937094
Prefeitura Municipal de Descanso - SC,4204905,27032784.58,999000,12460404.13,.068554342,2.8951283
Prefeitura Municipal de Dionísio Cerqueira - SC,4205001,48746671.51,6118933,25385127.48,.26192331,2.9014642
Prefeitura Municipal de Dona Emma - SC,4205100,17861465.32,0,8524716.92,0,2.8928819
Prefeitura Municipal de Doutor Pedrinho - SC,4205159,17573476.07,0,7210850.82,0,2.8928819
Prefeitura Municipal de Entre Rios - SC,4205175,16449400.58,752629,7443210.5,.08356797,2.8956201
Prefeitura Municipal de Ermo - SC,4205191,16516162.36,0,5930998.12,0,2.8928819
Prefeitura Municipal de Erval Velho - SC,4205209,20813186.65,1283855,8563572.189999999,.10480779,2.8963161
Prefeitura Municipal de Faxinal dos Guedes - SC,4205308,45181794.54,1968430,19734375.45,.077352837,2.8954165
Prefeitura Municipal de Flor do Sertão - SC,4205357,15721477.06,0,6850826.59,0,2.8928819
Prefeitura Municipal de Florianópolis - SC,4205407,1808044044.6,859181126,1096521930.48,1.2075255,2.9324484
Prefeitura Municipal de Formosa do Sul - SC,4205431,16319367.77,0,6406570.68,0,2.8928819
Prefeitura Municipal de Forquilhinha - SC,4205456,85739507.34999999,0,41802979.58,0,2.8928819
Prefeitura Municipal de Fraiburgo - SC,4205506,112910973.36,6087495,55871218.58,.10672373,2.896379
Prefeitura Municipal de Frei Rogério - SC,4205555,16077860.13,0,7126922.9,0,2.8928819
Prefeitura Municipal de Galvão - SC,4205605,18215777.02,0,7963321.42,0,2.8928819
Prefeitura Municipal de Garopaba - SC,4205704,87197587.41,1822778,40151816.42,.038744777,2.8941514
Prefeitura Municipal de Garuva - SC,4205803,70121442.40000001,3700880,35519402.38,.10695554,2.8963866
Prefeitura Municipal de Gaspar - SC,4205902,222966005.03,21473751,99774148.43000001,.17431144,2.8985934
Prefeitura Municipal de Governador Celso Ramos - SC,4206009,62769799.07,4229610,35790327.51,.15677142,2.8980188
Prefeitura Municipal de Grão Pará - SC,4206108,24522562.52,3260558,12093877.13,.26234135,2.9014781
Prefeitura Municipal de Gravatal - SC,4206207,31922200.36,3054534,15026308.54,.1807856,2.8988056
Prefeitura Municipal de Guabiruba - SC,4206306,67838837.33,1543295,30099919.73,.040893991,2.8942218
Prefeitura Municipal de Guaraciaba - SC,4206405,33643626.82,521911,16391259.94,.030251559,2.8938732
Prefeitura Municipal de Guaramirim - SC,4206504,148174557.06,0,69206787.16,0,2.8928819
Prefeitura Municipal de Guarujá do Sul - SC,4206603,21620509.67,0,9208158.609999999,0,2.8928819
Prefeitura Municipal de Guatambú - SC,4206652,27951073.75,0,11520408.63,0,2.8928819
Prefeitura Municipal de Herval d'Oeste - SC,4206702,70754462.58,2548722,37308218.74,.076203533,2.8953788
Prefeitura Municipal de Ibiam - SC,4206751,15695222.99,0,7175608.79,0,2.8928819
Prefeitura Municipal de Ibicaré - SC,4206801,20402098.51,0,8337432.75,0,2.8928819
Prefeitura Municipal de Ibirama - SC,4206900,56704627.96,1312978,28884061.85,.047194511,2.8944283
Prefeitura Municipal de Içara - SC,4207007,178459639.41,74735769,99357193.59999999,.94479722,2.9238398
Prefeitura Municipal de Ilhota - SC,4207106,53515227.92,4581248,27203966.72,.17411739,2.8985872
Prefeitura Municipal de Imaruí - SC,4207205,28768482.38,2567136,13704486.43,.17041534,2.8984659
Prefeitura Municipal de Imbituba - SC,4207304,146552939.11,0,71632120.01000001,0,2.8928819
Prefeitura Municipal de Imbuia - SC,4207403,22295292.32,0,10245815.13,0,2.8928819
Prefeitura Municipal de Indaial - SC,4207502,227404338.49,32784545,116249539.97,.29494494,2.9025464
Prefeitura Municipal de Iomerê - SC,4207577,21278878.25,1148521,8705003.609999999,.091341853,2.895875
Prefeitura Municipal de Ipira - SC,4207601,21119668.19,138652,10059450.37,.0125361,2.8932927
Prefeitura Municipal de Iporã do Oeste - SC,4207650,32814904.3,0,12894799.55,0,2.8928819
