code_muni,edu,saude,assit_des_soc,turismo,cultura,habitacao,meio_ambiente,transporte,des_urbano,san_bas,gest_agua,res_solid,soma,eq1
1703073,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1703107,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703206,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703305,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703602,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703701,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703800,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703826,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703842,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703867,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703883,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703891,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1703909,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1704105,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1704600,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705102,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705508,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705557,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1705607,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1706001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1706100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1706258,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1706506,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707009,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707108,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707207,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707306,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707405,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707553,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1707652,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1707702,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1708205,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1708254,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1708304,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1709005,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1709302,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1709500,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1709807,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1710508,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1710706,0,0,0,1,0,1,1,0,0,0,0,0,3,2.25
1710904,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1711100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1711506,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1711803,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1711902,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1711951,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712009,0,0,0,0,0,0,0,0,0,0,1,1,2,1.8333334
1712157,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712405,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712454,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712504,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712702,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1712801,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1713205,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1713304,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1713601,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1713700,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1713809,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1713957,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1714203,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1714302,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1714880,0,0,0,0,0,0,1,0,0,1,1,0,3,2.25
1715002,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1715101,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1715150,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1715259,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1715507,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1715705,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1715754,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716109,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716208,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716307,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716505,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4166666
1716604,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716653,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1716703,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1717008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1717206,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1717503,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1717800,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1717909,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1718006,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1718204,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1718303,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1718402,0,0,0,0,0,0,0,0,0,0,0,0,0,1
