codibge,uf,valor,sp
3510203,SP,14964662,1
4304705,RS,-13920748,0
1503754,PA,1748880,0
2606309,PE,324153,0
5107909,MT,5735122,0
2919058,BA,17358193,0
2513158,PB,-488568,0
2905909,BA,4227895,0
3511102,SP,23245909,1
4103701,PR,23599153,0
2303501,CE,49033998,0
2504355,PB,580582,0
3552106,SP,-6913373,1
4206652,SC,-7662119,0
4206306,SC,-7283779,0
2502300,PB,2856394,0
4128203,PR,-42950979,0
5209952,GO,-7337782,0
2505006,PB,14925504,0
2610004,PE,32677853,0
2609600,PE,-19045736,0
2616001,PE,4607639,0
2510501,PB,1132371,0
2609709,PE,17711607,0
2512077,PB,-7002,0
3541109,SP,1287952,1
5107206,MT,-875148,0
5107925,MT,-169092508,0
3104304,MG,-1717493,0
5101407,MT,-8614057,0
2307601,CE,82900931,0
3506508,SP,66039179,1
2918753,BA,20296972,0
3546603,SP,-47962528,1
3531803,SP,11771410,1
2508000,PB,27292740,0
2514453,PB,1205132,0
5006200,MS,-5962060,0
3103751,MG,-61417643,0
4114302,PR,9626282,0
5209903,GO,6264547,0
2311959,CE,2220960,0
2931509,BA,13150630,0
2502508,PB,19195727,0
2607307,PE,13574823,0
3536901,SP,1325853,1
3525003,SP,-62477993,1
5102850,MT,-1108231,0
4317400,RS,-5763187,0
2514305,PB,6639975,0
2928703,BA,37358836,0
3555406,SP,-4923706,1
2920601,BA,4227303,0
3118007,MG,5542464,0
2600302,PE,13787594,0
3530805,SP,39644905,1
1501303,PA,-36765920,0
2805109,SE,11279472,0
5205208,GO,-471690,0
1506203,PA,36193917,0
2804607,SE,7737375,0
2611606,PE,871006436,0
2512721,PB,2201507,0
3102902,MG,429830,0
2932101,BA,3531195,0
2603801,PE,1826231,0
2413508,RN,27552,0
4203907,SC,-12560887,0
2603009,PE,17427974,0
3542602,SP,-3920774,1
2612455,PE,-10004763,0
5204953,GO,-727745,0
2615300,PE,-1892933,0
5211008,GO,-1428336,0
3512704,SP,-213250,1
2910057,BA,27299560,0
2504603,PB,63546793,0
2501906,PB,10842635,0
2104909,MA,-4728781,0
2507705,PB,10574460,0
2305357,CE,37230192,0
4219309,SC,-49002240,0
2405009,RN,5431122,0
2303600,CE,10927350,0
2609808,PE,3223880,0
2914109,BA,-1252506,0
2413607,RN,2578940,0
2931350,BA,101735790,0
2906873,BA,33880782,0
2512507,PB,3228887,0
2918308,BA,29903141,0
2613503,PE,-4036571,0
2405108,RN,2622893,0
2612901,PE,5247921,0
2407302,RN,307167,0
2306009,CE,15615707,0
2919801,BA,78018702,0
2603108,PE,9666714,0
2408706,RN,8036466,0
2926509,BA,10787607,0
2615201,PE,-1956655,0
5107875,MT,-24203663,0
1502707,PA,59787485,0
2801009,SE,8062011,0
2925931,BA,3531000,0
2928802,BA,8309930,0
2501351,PB,2368298,0
4204350,SC,-4643048,0
3120409,MG,-1057691,0
2906105,BA,10927624,0
2907202,BA,79377983,0
3538204,SP,-185546,1
2910206,BA,1266630,0
2506301,PB,44143142,0
5107768,MT,-13541786,0
3516705,SP,-14717677,1
2601409,PE,36504055,0
2509404,PB,17762818,0
2512606,PB,1303168,0
2604502,PE,13964019,0
2924009,BA,-34347120,0
2602605,PE,2350241,0
2606200,PE,-54196883,0
2408508,RN,-4686625,0
1506351,PA,1017098,0
2501609,PB,8665976,0
1101807,RO,-5842332,0
3203130,ES,-30327088,0
2503209,PB,-359852257,0
2911600,BA,19813334,0
2607950,PE,20323544,0
5104104,MT,-1750869,0
2513406,PB,958446,0
1304062,AM,3614449,0
2600708,PE,41570634,0
2904100,BA,5910836,0
2929008,BA,33735878,0
2510303,PB,2821321,0
2300705,CE,10200700,0
1300607,AM,22147202,0
2614006,PE,10743847,0
2919009,BA,-853925,0
2608107,PE,25389384,0
1508050,PA,7805594,0
5212956,GO,-974560,0
2930709,BA,164098452,0
2611705,PE,7050315,0
2516706,PB,15495103,0
4214300,SC,-3519730,0
2305605,CE,6234975,0
2112100,MA,7789125,0
3151800,MG,188402724,0
1502772,PA,4471312,0
3505708,SP,-199420889,1
2923209,BA,-23182260,0
2311801,CE,25735507,0
5219803,GO,21544228,0
2612208,PE,15002003,0
2600609,PE,4593496,0
2604155,PE,9471153,0
3168705,MG,138763435,0
2307502,CE,15203895,0
2600401,PE,31696854,0
3500709,SP,7890476,1
5215207,GO,-828882,0
4216909,SC,-6344206,0
2111300,MA,716146480,0
4214151,SC,-5279904,0
3532900,SP,-4032562,1
2610400,PE,16866388,0
3556404,SP,-3293624,1
3515194,SP,-2939256,1
4118857,PR,-781116,0
2900306,BA,8014531,0
5107065,MT,-4018634,0
2930907,BA,1237112,0
